"Data Import Template"
"Table:","Translation"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Translation","","",""
"Column Labels:","ID","Language","Source Text","Translated Text"
"Column Name:","name","language","source_name","target_name"
"Mandatory:","Yes","No","No","No"
"Type:","Data (text)","Link","Code","Code"
"Info:","","Valid Language","",""
"Start entering data below this line"
"","""8e01ec2bdc""","en-US","Physician Schedule","Doctor Schedule"
"","""215835cd9b""","en-US","Healthcare Settings","Clinic Settings"
"","""1de762978a""","en-US","Patient Appointment","Client Appointment"
"","""67962baf9a""","ar","Scheduled","موعد مؤكد"
"","""fa6349d0d6""","ar","Waiting","في قائمة الانتظار"
"","""a34fb479be""","ar","Doctor Name","اسم الطبيب"
"","""786fb41ed2""","ar","Book","حجز"
"","""c4725cd08f""","ar","Doctor Designation","تخصص الاطباء"
"","""5848f865af""","ar","Clinic","ادارة العيادات"
